L_set_count,threshold_value,B_vector,percent_positive,percent_negative
18,0.7,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",55.56,44.44
18,0.7,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",61.11,38.89
18,1.3,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",44.44,55.56
18,0.9,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",55.56,44.44
18,0.9,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",38.89,61.11
17,1.3,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",76.47,23.53
17,1.5,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",47.06,52.94
16,0.7,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",56.25,43.75
16,1.4,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",43.75,56.25
16,1.2,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",56.25,43.75
16,1.3,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",43.75,56.25
16,1.2,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",43.75,56.25
15,1.2,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",33.33,66.67
15,1.2,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",33.33,66.67
15,1.5,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",40.00,60.00
15,0.9,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",40.00,60.00
14,1.5,"[-1.225187040525495,1.6426853721612624,1.4907224928254759,-1.23204226003776,0.0511100481538862]",28.57,71.43
14,1.3,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",35.71,64.29
14,1.4,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",42.86,57.14
13,1.4,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",46.15,53.85
13,1.5,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",53.85,46.15
